,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
0,AAPL211126C00162500,2021-11-19 20:59:59,162.5,1.29,1.25,1.29,0.34999996,37.23404,84437.0,18819.0,0.25708750732421876,False,REGULAR,USD,2021-11-26
1,AAPL211126C00165000,2021-11-19 20:59:59,165.0,0.71,0.66,0.69,0.13999999,24.561401,88516.0,13968.0,0.2700268310546875,False,REGULAR,USD,2021-11-26
2,AAPL211126C00167500,2021-11-19 20:59:59,167.5,0.38,0.36,0.38,0.03999999,11.764703,13791.0,3149.0,0.2885813330078124,False,REGULAR,USD,2021-11-26
3,AAPL211126C00170000,2021-11-19 20:59:56,170.0,0.23,0.22,0.23,0.010000005,4.545457,55347.0,9282.0,0.3129951513671875,False,REGULAR,USD,2021-11-26
4,AAPL211126C00172500,2021-11-19 20:59:58,172.5,0.14,0.13,0.14,0.0,0.0,7972.0,2468.0,0.334967587890625,False,REGULAR,USD,2021-11-26
5,AAPL211126C00175000,2021-11-19 20:59:56,175.0,0.1,0.09,0.1,0.009999998,11.111108,6470.0,3088.0,0.36426416992187505,False,REGULAR,USD,2021-11-26
6,AAPL211126C00180000,2021-11-19 20:58:43,180.0,0.06,0.05,0.06,0.02,50.0,6593.0,2290.0,0.42578699218750005,False,REGULAR,USD,2021-11-26
7,AAPL211126C00185000,2021-11-19 20:59:56,185.0,0.03,0.03,0.05,-0.01,-25.0,1759.0,1335.0,0.49609878906250005,False,REGULAR,USD,2021-11-26
8,AAPL211126C00190000,2021-11-19 20:59:26,190.0,0.03,0.02,0.04,0.01,50.0,5600.0,1627.0,0.5390671093750001,False,REGULAR,USD,2021-11-26
9,AAPL211126C00195000,2021-11-19 20:55:55,195.0,0.02,0.01,0.02,0.0,0.0,1638.0,693.0,0.570316796875,False,REGULAR,USD,2021-11-26
