,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,contractSize,type,expirationDate
36,AAPL211126C00162500,2021-11-19 20:59:59,162.5,1.29,1.25,1.29,REGULAR,0,2021-11-26
37,AAPL211126C00165000,2021-11-19 20:59:59,165.0,0.71,0.66,0.69,REGULAR,0,2021-11-26
38,AAPL211126C00167500,2021-11-19 20:59:59,167.5,0.38,0.36,0.38,REGULAR,0,2021-11-26
39,AAPL211126C00170000,2021-11-19 20:59:56,170.0,0.23,0.22,0.23,REGULAR,0,2021-11-26
40,AAPL211126C00172500,2021-11-19 20:59:58,172.5,0.14,0.13,0.14,REGULAR,0,2021-11-26
41,AAPL211126C00175000,2021-11-19 20:59:56,175.0,0.1,0.09,0.1,REGULAR,0,2021-11-26
42,AAPL211126C00180000,2021-11-19 20:58:43,180.0,0.06,0.05,0.06,REGULAR,0,2021-11-26
43,AAPL211126C00185000,2021-11-19 20:59:56,185.0,0.03,0.03,0.05,REGULAR,0,2021-11-26
44,AAPL211126C00190000,2021-11-19 20:59:26,190.0,0.03,0.02,0.04,REGULAR,0,2021-11-26
45,AAPL211126C00195000,2021-11-19 20:55:55,195.0,0.02,0.01,0.02,REGULAR,0,2021-11-26
46,AAPL211126C00200000,2021-11-19 20:56:27,200.0,0.02,0.01,0.02,REGULAR,0,2021-11-26
47,AAPL211126C00205000,2021-11-19 20:49:59,205.0,0.02,0.01,0.02,REGULAR,0,2021-11-26
48,AAPL211126P00075000,2021-11-08 17:30:26,75.0,0.01,0.0,0.01,REGULAR,1,2021-11-26
49,AAPL211126P00080000,2021-10-11 17:33:17,80.0,0.06,0.0,0.01,REGULAR,1,2021-11-26
50,AAPL211126P00085000,2021-11-04 16:22:20,85.0,0.01,0.0,0.03,REGULAR,1,2021-11-26
51,AAPL211126P00090000,2021-10-25 16:04:20,90.0,0.03,0.0,0.01,REGULAR,1,2021-11-26
52,AAPL211126P00095000,2021-11-05 14:34:21,95.0,0.01,0.0,0.01,REGULAR,1,2021-11-26
53,AAPL211126P00100000,2021-11-19 18:07:54,100.0,0.01,0.0,0.01,REGULAR,1,2021-11-26
54,AAPL211126P00105000,2021-11-19 15:44:12,105.0,0.01,0.0,0.02,REGULAR,1,2021-11-26
55,AAPL211126P00110000,2021-11-19 18:05:36,110.0,0.01,0.0,0.01,REGULAR,1,2021-11-26
56,AAPL211126P00115000,2021-11-19 20:56:16,115.0,0.01,0.0,0.01,REGULAR,1,2021-11-26
57,AAPL211126P00120000,2021-11-19 20:47:18,120.0,0.01,0.0,0.02,REGULAR,1,2021-11-26
58,AAPL211126P00125000,2021-11-19 20:46:01,125.0,0.02,0.01,0.02,REGULAR,1,2021-11-26
59,AAPL211126P00129000,2021-11-19 20:46:33,129.0,0.03,0.02,0.03,REGULAR,1,2021-11-26
60,AAPL211126P00130000,2021-11-19 20:58:37,130.0,0.02,0.02,0.04,REGULAR,1,2021-11-26
61,AAPL211126P00131000,2021-11-19 20:58:41,131.0,0.04,0.02,0.04,REGULAR,1,2021-11-26
62,AAPL211126P00132000,2021-11-19 20:53:16,132.0,0.03,0.03,0.05,REGULAR,1,2021-11-26
63,AAPL211126P00133000,2021-11-19 20:37:51,133.0,0.03,0.03,0.05,REGULAR,1,2021-11-26
64,AAPL211126P00134000,2021-11-19 20:54:06,134.0,0.04,0.03,0.05,REGULAR,1,2021-11-26
65,AAPL211126P00135000,2021-11-19 20:59:40,135.0,0.06,0.04,0.05,REGULAR,1,2021-11-26
66,AAPL211126P00136000,2021-11-19 20:52:51,136.0,0.06,0.04,0.06,REGULAR,1,2021-11-26
67,AAPL211126P00137000,2021-11-19 20:59:51,137.0,0.06,0.05,0.07,REGULAR,1,2021-11-26
68,AAPL211126P00138000,2021-11-19 20:40:09,138.0,0.05,0.06,0.07,REGULAR,1,2021-11-26
69,AAPL211126P00139000,2021-11-19 20:54:50,139.0,0.07,0.06,0.08,REGULAR,1,2021-11-26
70,AAPL211126P00140000,2021-11-19 20:55:36,140.0,0.08,0.07,0.09,REGULAR,1,2021-11-26
71,AAPL211126P00141000,2021-11-19 20:52:40,141.0,0.08,0.07,0.09,REGULAR,1,2021-11-26
72,AAPL211126P00142000,2021-11-19 20:55:44,142.0,0.09,0.08,0.1,REGULAR,1,2021-11-26
73,AAPL211126P00143000,2021-11-19 20:57:13,143.0,0.09,0.08,0.1,REGULAR,1,2021-11-26
74,AAPL211126P00144000,2021-11-19 20:58:25,144.0,0.09,0.09,0.11,REGULAR,1,2021-11-26
75,AAPL211126P00145000,2021-11-19 20:59:54,145.0,0.11,0.1,0.12,REGULAR,1,2021-11-26
76,AAPL211126P00146000,2021-11-19 20:59:33,146.0,0.12,0.11,0.13,REGULAR,1,2021-11-26
77,AAPL211126P00147000,2021-11-19 20:59:54,147.0,0.12,0.13,0.14,REGULAR,1,2021-11-26
78,AAPL211126P00148000,2021-11-19 20:59:57,148.0,0.15,0.14,0.16,REGULAR,1,2021-11-26
79,AAPL211126P00149000,2021-11-19 20:59:50,149.0,0.16,0.16,0.18,REGULAR,1,2021-11-26
80,AAPL211126P00150000,2021-11-19 20:59:57,150.0,0.19,0.19,0.21,REGULAR,1,2021-11-26
81,AAPL211126P00152500,2021-11-19 20:59:57,152.5,0.3,0.29,0.32,REGULAR,1,2021-11-26
82,AAPL211126P00155000,2021-11-19 20:59:59,155.0,0.51,0.47,0.51,REGULAR,1,2021-11-26
83,AAPL211126P00157500,2021-11-19 20:59:54,157.5,0.9,0.89,0.92,REGULAR,1,2021-11-26
84,AAPL211126P00160000,2021-11-19 20:59:55,160.0,1.72,1.74,1.77,REGULAR,1,2021-11-26
121,AAPL211203C00165000,2021-11-19 20:59:47,165.0,1.32,1.28,1.3,REGULAR,0,2021-12-03
122,AAPL211203C00170000,2021-11-19 20:59:58,170.0,0.53,0.52,0.53,REGULAR,0,2021-12-03
123,AAPL211203C00175000,2021-11-19 20:59:28,175.0,0.24,0.23,0.25,REGULAR,0,2021-12-03
124,AAPL211203C00180000,2021-11-19 20:54:30,180.0,0.13,0.12,0.15,REGULAR,0,2021-12-03
125,AAPL211203C00185000,2021-11-19 20:57:36,185.0,0.09,0.08,0.1,REGULAR,0,2021-12-03
126,AAPL211203C00190000,2021-11-19 20:59:16,190.0,0.07,0.06,0.07,REGULAR,0,2021-12-03
127,AAPL211203C00195000,2021-11-19 20:54:25,195.0,0.05,0.04,0.05,REGULAR,0,2021-12-03
128,AAPL211203C00200000,2021-11-19 20:47:30,200.0,0.04,0.03,0.05,REGULAR,0,2021-12-03
129,AAPL211203C00205000,2021-11-19 20:59:10,205.0,0.03,0.02,0.04,REGULAR,0,2021-12-03
130,AAPL211203C00210000,2021-11-19 20:53:41,210.0,0.03,0.02,0.04,REGULAR,0,2021-12-03
131,AAPL211203P00105000,2021-11-17 15:26:23,105.0,0.02,0.0,0.03,REGULAR,1,2021-12-03
132,AAPL211203P00110000,2021-11-18 16:44:46,110.0,0.03,0.01,0.03,REGULAR,1,2021-12-03
